team,elo
Spain,2228.011331310723
Argentina,2199.9334276261734
France,2135.556443754701
Brazil,2092.335160911584
England,2088.0109111067372
Colombia,2067.2156795226315
Portugal,2060.807415743839
Ecuador,2039.8431477154618
Germany,2031.707559837732
Netherlands,2012.6340508193832
Japan,2012.5069528604054
Morocco,2006.9172105854623
Norway,2006.4870437235886
Turkey,2005.2069785459812
Belgium,1993.475019889413
Switzerland,1985.1902958508845
Mexico,1974.9387247838781
Croatia,1973.2423798208267
Uruguay,1972.6268257645324
Paraguay,1933.144289264912
Austria,1925.74983213784
Senegal,1924.676781856359
Canada,1916.397322421045
Iran,1907.7977487285034
Algeria,1898.1206828418167
Australia,1892.794105914525
South Korea,1883.9340079597182
Scotland,1859.4933173445536
Ivory Coast,1853.6718725408628
Czech Republic,1834.2519746067558
United States,1830.5069281569527
Egypt,1828.0271798846197
Uzbekistan,1825.4212901227088
Panama,1825.0565725053907
Sweden,1799.3533495267343
Jordan,1768.599933571664
Iraq,1758.6023254382576
Tunisia,1751.3508180684782
Haiti,1710.6803043871284
DR Congo,1697.2986542430885
New Zealand,1694.0753910620126
Saudi Arabia,1683.857038471264
Bosnia and Herzegovina,1674.6322274986605
South Africa,1668.712668753167
Cape Verde,1664.9762573010785
Ghana,1630.3566796692762
Curaçao,1600.6491992448503
Qatar,1543.6376551448493
