team,elo
Spain,2202.0451078836286
Argentina,2199.952933222963
France,2135.5875003117176
England,2088.0311109541713
Brazil,2079.3787390660445
Colombia,2067.2353174778873
Portugal,2060.835266769909
Germany,2036.8778299584937
Morocco,2019.9490551377214
Japan,2019.7905127010974
Norway,2006.506670551512
Ecuador,2005.681805956644
Netherlands,2005.3895299120602
Mexico,1982.3257174224739
Belgium,1976.2321889444897
Croatia,1973.2750066269004
Switzerland,1964.5227242196943
Turkey,1962.3848542344733
Uruguay,1958.873568861165
Australia,1935.649604574669
Austria,1925.768795269048
Senegal,1924.6787755380972
South Korea,1900.4323553747388
Algeria,1898.1183967876564
Canada,1896.061291053255
Iran,1888.4784711122527
Ivory Coast,1887.8413624106433
Paraguay,1884.520984140536
Scotland,1882.5322219720401
United States,1879.172905188848
Egypt,1845.291627764526
Sweden,1830.075669135056
Uzbekistan,1825.430628651552
Panama,1825.0685119056257
Czech Republic,1817.787078408521
Jordan,1768.610401357475
Iraq,1758.611605231836
Tunisia,1720.6631809896896
New Zealand,1713.401961943964
Saudi Arabia,1697.6365893351854
DR Congo,1697.2788087531667
Bosnia and Herzegovina,1695.0056216093767
Cape Verde,1690.9707943380984
Haiti,1687.6681745950284
South Africa,1661.3291214190706
Ghana,1630.355615813534
Curaçao,1595.5090655618556
Qatar,1564.333474194733
